,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0,0.025,0.72,25.0,41852.0,199070864638.0,0.044,199070864638.0,451.0,0.023,0.1,0.08,72.0,69.0,0.9,0.272,0.681,0.047,0.682,Africa,Algeria
1,0.046,0.521,66.0,13576.0,104115863405.0,0.034,104115863405.0,282.0,0.107,0.1,0.188,53.0,50.0,0.5,0.477,0.499,0.024,0.409,Africa,Angola
2,0.037,0.659,29.0,3761.0,7294900431.0,0.045,7294900431.0,270.0,0.06,0.0,0.14400000000000002,60.0,58.0,0.8,0.432,0.539,0.029,0.423,Africa,Benin
3,0.024,0.195,60.0,2215.0,15292424757.0,0.052,15292424757.0,152.0,0.039,0.1,0.11,46.0,47.0,1.5,0.34,0.625,0.035,0.565,Africa,Botswana
4,0.042,0.435,13.0,10550.0,10395757480.0,0.064,10395757480.0,270.0,0.068,0.0,0.14400000000000002,56.0,55.0,0.5,0.458,0.517,0.025,0.265,Africa,Burkina Faso
5,0.045,0.516,13.0,10550.0,2355652064.0,0.09,2355652064.0,274.0,0.059,0.0,0.132,55.0,51.0,0.2,0.44,0.535,0.025,0.109,Africa,Burundi
6,0.038,0.488,15.0,6720.0,25486923059.0,0.054,25486923059.0,654.0,0.064,0.1,0.14400000000000002,55.0,53.0,0.5,0.432,0.535,0.032,0.521,Africa,Cameroon
7,0.035,0.546,22.0,10550.0,2195599491.0,0.039,2195599491.0,504.0,0.1,0.0,0.14400000000000002,51.0,47.0,0.2,0.404,0.558,0.039,0.39,Africa,Central African Republic
8,0.047,0.758,55.0,10550.0,12156380062.0,0.028,12156380062.0,732.0,0.092,0.0,0.14400000000000002,51.0,49.0,0.3,0.487,0.488,0.025,0.22,Africa,Chad
9,0.036,2.1790000000000003,22.0,10550.0,610372697.0,0.036,610372697.0,100.0,0.061,0.1,0.105,62.0,59.0,0.3,0.422,0.549,0.029,0.28,Africa,Comoros
10,0.044,3.391,65.0,24497.0,23831631365.0,0.061,23831631365.0,336.0,0.09,0.0,0.438,51.0,48.0,0.2,0.453,0.519,0.028,0.404,Africa,"Congo, Dem. Rep."
11,0.038,0.653,161.0,1659.0,14425606793.0,0.025,14425606793.0,606.0,0.039,0.1,0.14400000000000002,59.0,56.0,0.9,0.423,0.543,0.034,0.637,Africa,"Congo, Rep."
12,0.037,0.44,32.0,11233.0,24074553674.0,0.068,24074553674.0,270.0,0.075,0.0,0.14400000000000002,51.0,49.0,0.9,0.417,0.552,0.031,0.513,Africa,Cote d'Ivoire
13,0.028,0.37799999999999995,37.0,10550.0,1239144502.0,0.087,1239144502.0,82.0,0.061,0.1,0.106,62.0,59.0,0.2,0.339,0.623,0.038,0.771,Africa,Djibouti
14,0.024,0.436,8.0,77649.0,236000735704.0,0.049,236000735704.0,433.0,0.019,0.4,0.11,73.0,68.0,1.1,0.314,0.631,0.056,0.43,Africa,"Egypt, Arab Rep."
15,0.036,0.441,135.0,10550.0,15715842151.0,0.045,15715842151.0,492.0,0.073,0.1,0.14400000000000002,54.0,51.0,0.7,0.391,0.58,0.029,0.393,Africa,Equatorial Guinea
16,0.038,0.845,84.0,765.0,2607739837.0,0.027,2607739837.0,216.0,0.038,0.0,0.14400000000000002,64.0,59.0,0.0,0.431,0.548,0.022,0.21,Africa,Eritrea
17,0.034,0.303,15.0,34064.0,31367606700.0,0.041,31367606700.0,198.0,0.048,0.0,0.14400000000000002,64.0,61.0,0.2,0.439,0.528,0.033,0.177,Africa,Ethiopia
